ground,season,scorecard_no,countries,runs,overs,innings_x,team1_inn1,team2_inn1,first_inn_lead_of_team1,team1_inn2,team2_inn2,team1_inn1_over,team2_inn1_over,total_day,bat_first,field_first,innings_y,team_no,country_won,won
Sydney,1894/95,Test # 42,England,325,140.3,1st INNINGS,0,325,-261,0,166,0,140.3,7,Australia,0,1st INNINGS,2,England,1
Melbourne,1894/95,Test # 43,England,75,40.1,1st INNINGS,75,0,-48,475,0,40.1,0,6,0,Australia,1st INNINGS,2,England,1
Melbourne,1894/95,Test # 43,Australia,123,55.5,1st INNINGS,0,123,48,0,333,0,55.5,6,0,Australia,1st INNINGS,1,England,0
Adelaide,1894/95,Test # 44,Australia,238,81.1,1st INNINGS,238,0,114,411,0,81.1,0,5,Australia,0,1st INNINGS,1,Australia,1
Adelaide,1894/95,Test # 44,England,124,57.3,1st INNINGS,0,124,-114,0,143,0,57.3,5,Australia,0,1st INNINGS,2,Australia,0
Sydney,1894/95,Test # 45,Australia,284,83.5,1st INNINGS,284,0,219,72,0,83.5,0,4,0,England,1st INNINGS,1,Australia,1
Sydney,1894/95,Test # 45,England,65,38.5,1st INNINGS,0,65,-219,0,0,0,38.5,4,0,England,1st INNINGS,2,Australia,0
Melbourne,1894/95,Test # 46,Australia,414,148.4,1st INNINGS,414,0,29,267,0,148.4,0,6,Australia,0,1st INNINGS,1,England,0
Melbourne,1894/95,Test # 46,England,385,133,1st INNINGS,0,385,-29,0,298,0,133,6,Australia,0,1st INNINGS,2,England,1
Crusaders,1895/96,Test # 47,England,185,70.4,1st INNINGS,185,0,92,226,0,70.4,0,2,0,South Africa,1st INNINGS,2,England,1
Crusaders,1895/96,Test # 47,South Africa,93,30.4,1st INNINGS,0,93,-92,0,30,0,30.4,2,0,South Africa,1st INNINGS,1,England,0
Old,1895/96,Test # 48,England,482,157.3,1st INNINGS,482,0,331,134,0,157.3,0,3,England,0,1st INNINGS,2,England,1
Old,1895/96,Test # 48,South Africa,151,46.2,1st INNINGS,0,151,-331,0,0,0,46.2,3,England,0,1st INNINGS,1,England,0
"Newlands,",1895/96,Test # 49,South Africa,115,48,1st INNINGS,115,0,-150,117,0,48,0,3,0,England,1st INNINGS,1,England,0
"Newlands,",1895/96,Test # 49,England,265,101.4,1st INNINGS,0,265,150,0,0,0,101.4,3,0,England,1st INNINGS,2,England,1
"Lord's,",1896,Test # 50,Australia,53,22.3,1st INNINGS,53,0,-239,347,0,22.3,0,3,Australia,0,1st INNINGS,2,England,0
"Lord's,",1896,Test # 50,England,292,107.4,1st INNINGS,0,292,239,0,111,0,107.4,3,Australia,0,1st INNINGS,1,England,1
Old,1896,Test # 51,Australia,412,170,1st INNINGS,412,0,181,305,0,170,0,3,Australia,0,1st INNINGS,2,Australia,1
Old,1896,Test # 51,England,231,90,1st INNINGS,0,231,-181,0,125,0,90,3,Australia,0,1st INNINGS,1,Australia,0
Kennington,1896,Test # 52,England,145,81.3,1st INNINGS,145,0,26,84,0,81.3,0,3,England,0,1st INNINGS,1,England,1
Kennington,1896,Test # 52,Australia,119,53.1,1st INNINGS,0,119,-26,0,44,0,53.1,3,England,0,1st INNINGS,2,England,0
Sydney,1897/98,Test # 53,England,551,175,1st INNINGS,551,0,314,408,0,175,0,5,England,0,1st INNINGS,2,England,1
Sydney,1897/98,Test # 53,Australia,237,100.1,1st INNINGS,0,237,-314,0,96,0,100.1,5,England,0,1st INNINGS,1,England,0
